"id","passerine_non_passerine","order","family_name_latin","family_name_common","taxonomy","scientific_name","common_name","diet_invertebrate","diet_vert_endo","diet_vert_ecto","diet_vert_fish","diet_vert_unknown","diet_scavenger","diet_fruit","diet_nectar","diet_seed","diet_other_plant","diet_category","diet_data_source","diet_certainty","foraging_below_water","foraging_around_surf","foraging_ground","foraging_understory","foraging_midheight","foraging_canopy","foraging_aerial","foraging_data_source","is_noctural","body_mass_value","body_mass_data_source","body_mass_spec_level","body_mass_comments","foraging_spec_level","comments","is_pelagic_specialist","bl_family_sequence_id","foraging_data_entered_by","diet_data_entered_by"
83,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus boucardi","Slaty-breasted Tinamou",20,0,0,0,0,0,40,0,40,0,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,435.62,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
84,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus kerriae","Choco Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,411.51,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
85,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus erythropus","Red-legged Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,100,0,0,0,0,"Ref_1",FALSE,485,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
87,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus duidae","Grey-legged Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,426,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
88,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus noctivagus","Yellow-legged Tinamou",30,0,0,0,0,0,0,0,30,40,"PlantSeed","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,561.99,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
89,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus atrocapillus","Black-capped Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,453,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
90,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus variegatus","Variegated Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,378,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
91,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus brevirostris","Rusty Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,411.51,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
92,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus bartletti","Bartlett's Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,241,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
93,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus parvirostris","Small-billed Tinamou",40,0,0,0,0,0,0,0,60,0,"PlantSeed","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,198.99,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
94,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus casiquiare","Barred Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,411.51,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
95,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Crypturellus tataupa","Tataupa Tinamou",50,0,0,0,0,0,0,0,30,20,"Omnivore","Ref_1","A",0,0,50,50,0,0,0,"Ref_1",FALSE,218.8,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
96,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Rhynchotus rufescens","Red-winged Tinamou",40,0,0,0,10,0,0,0,30,20,"Omnivore","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,843.47,"Dunning08",TRUE,,TRUE,,FALSE,1,"Other","Jennifer"
98,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta taczanowskii","Taczanowski's Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,475.31,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
100,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta ornata","Ornate Tinamou",20,0,0,0,0,0,10,0,20,50,"PlantSeed","Ref_1","A",0,0,60,40,0,0,0,"Ref_1",FALSE,619.27,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
101,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta pentlandii","Andean Tinamou",20,0,0,0,0,0,10,0,20,50,"PlantSeed","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,300.73,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
102,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta cinerascens","Brushland Tinamou",60,0,0,0,0,0,20,0,20,0,"Invertebrate","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,523.89,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
103,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta perdicaria","Chilean Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,458,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
104,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothoprocta curvirostris","Curve-billed Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore","Ref_1","D1",0,0,80,20,0,0,0,"Genus",FALSE,376,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
105,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothura darwinii","Darwin's Nothura",50,0,0,0,0,0,0,0,40,10,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,244.58,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
106,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothura chacoensis","Chaco Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore","Ref_1","D1",0,0,100,0,0,0,0,"Genus",FALSE,226.08,"GenAvg",FALSE,,FALSE,,FALSE,1,"Walter","Jennifer"
107,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothura maculosa","Spotted Nothura",40,0,0,0,0,0,30,0,30,0,"Omnivore","Ref_1","A",0,0,100,0,0,0,0,"Ref_1",FALSE,257.48,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
108,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothura minor","Lesser Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore","Ref_1","D1",0,0,100,0,0,0,0,"Genus",FALSE,165.8,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
109,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Nothura boraquira","White-bellied Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore","Ref_1","D1",0,0,100,0,0,0,0,"Genus",FALSE,283,"Dunning08",TRUE,,FALSE,,FALSE,1,"Walter","Jennifer"
110,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Taoniscus nanus","Dwarf Tinamou",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,43,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
111,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Eudromia elegans","Elegant Crested-tinamou",30,0,0,0,0,0,0,0,40,30,"PlantSeed","Ref_1","A",0,0,80,20,0,0,0,"Ref_1",FALSE,702.9,"Dunning08",TRUE,,TRUE,,FALSE,1,"Other","Jennifer"
112,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Eudromia formosa","Quebracho Crested-tinamou",30,0,0,0,0,0,0,0,40,30,"PlantSeed","Ref_1","D1",0,0,100,0,0,0,0,"Genus",FALSE,772.93,"PrimScale",TRUE,"MarceloR",FALSE,,FALSE,1,"Walter","Jennifer"
113,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Tinamotis pentlandii","Puna Tinamou",0,0,0,0,0,0,0,0,40,60,"PlantSeed","Ref_1","B",0,0,100,0,0,0,0,"Ref_1",FALSE,650,"Dunning08",TRUE,,TRUE,,FALSE,1,"Jessica","Jennifer"
114,"Nonpasseriformes","Tinamiformes","Tinamidae","Tinamous","BL3","Tinamotis ingoufi","Patagonian Tinamou",0,0,0,0,0,0,0,0,40,60,"PlantSeed","Ref_1","D1",0,0,60,40,0,0,0,"Ref_1",FALSE,730,"PrimScale",TRUE,"MarceloR",TRUE,,FALSE,1,"Jessica","Jennifer"
137,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis vetula","Plain Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_2","A",0,0,0,0,50,50,0,"Ref_2",FALSE,562.6,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
138,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis cinereiceps","Grey-headed Chachalaca",0,0,0,0,0,0,80,0,0,20,"FruiNect","Ref_2","A",0,0,20,0,40,40,0,"Ref_2",FALSE,493,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
