ebird_scientific_name,ebird_common_name,alternative_scientific_name
Periparus elegans,Elegant Tit,Pardaliparus elegans
Periparus venustulus,Yellow-bellied Tit,Pardaliparus venustulus
Phalacrocorax bougainvillii,Guanay Cormorant,Leucocarbo bougainvilliorum
Phylloscopus occisinensis,Alpine Leaf Warbler,Phylloscopus affinis
Pica bottanensis,Black-rumped Magpie,Pica pica
Pica nuttalli,Yellow-billed Magpie,Pica nutalli
Pica serica,Oriental Magpie,Pica pica
Picoides dorsalis,American Three-toed Woodpecker,Picoides tridactylus
Platysteira castanea,Chestnut Wattle-eye,Dyaphorophyia castanea
Platysteira concreta,Yellow-bellied Wattle-eye,Dyaphorophyia concreta
Poecilostreptus cabanisi,Azure-rumped Tanager,Tangara cabanisi
Poecilostreptus palmeri,Gray-and-gold Tanager,Tangara palmeri
Porphyrio indicus,Black-backed Swamphen,Porphyrio porphyrio
Porphyrio madagascariensis,African Swamphen,Porphyrio porphyrio
Porphyrio martinica,Purple Gallinule,Porphyrio martinicus
Porphyrio melanotus,Australasian Swamphen,Porphyrio porphyrio
Porphyrio poliocephalus,Gray-headed Swamphen,Porphyrio porphyrio
Porphyrio pulverulentus,Philippine Swamphen,Porphyrio porphyrio
Porphyrospiza alaudina,Band-tailed Sierra-Finch,Corydospiza alaudina
Porphyrospiza carbonaria,Carbonated Sierra-Finch,Corydospiza carbonaria
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,Pseudocolaptes boissonneauii
Psittacara strenuus,Pacific Parakeet,Psittacara holochlorus
Psittacula calthrapae,Layard's Parakeet,Nicopsitta calthrapae
Pteruthius ripleyi,Himalayan Shrike-Babbler,Pteruthius aeralatus
Puffinus boydi,Boyd's Shearwater,Puffinus lherminieri
Pycnonotus conradi,Streak-eared Bulbul,Pycnonotus blanfordi
Rubigula cyaniventris,Gray-bellied Bulbul,Ixidia cyaniventris
Rubigula erythropthalmos,Spectacled Bulbul,Ixidia erythropthalmos
Rubigula melanicterus,Black-capped Bulbul,Rubigula melanictera
Rubigula squamata,Scaly-breasted Bulbul,Ixidia squamata
Saltatricula atricollis,Black-throated Saltator,Saltator atricollis
Saxicola maurus,Siberian Stonechat,Saxicola torquatus
Saxicola rubicola,European Stonechat,Saxicola torquatus
Spizelloides arborea,American Tree Sparrow,Passerella arborea
Sporaeginthus subflavus,Zebra Waxbill,Amandava subflava
Stercorarius antarcticus,Brown Skua,Catharacta antarctica
Stilpnia cayana,Burnished-buff Tanager,Tangara cayana
Stilpnia cyanicollis,Blue-necked Tanager,Tangara cyanicollis
Stilpnia cyanoptera,Black-headed Tanager,Tangara cyanoptera
Stilpnia heinei,Black-capped Tanager,Tangara heinei
Stilpnia larvata,Golden-hooded Tanager,Tangara larvata
Stilpnia peruviana,Black-backed Tanager,Tangara peruviana
Stilpnia preciosa,Chestnut-backed Tanager,Tangara preciosa
Stilpnia vitriolina,Scrub Tanager,Tangara vitriolina
Streptopelia chinensis,Spotted Dove,Spilopelia chinensis
Sturnia blythii,Malabar Starling,Sturnia malabarica
Sylviorthorhynchus desmursii,Des Murs's Wiretail,Sylviorthorhynchus desmurii
Tetrastes bonasia,Hazel Grouse,Bonasa bonasia
Thectocercus acuticaudatus,Blue-crowned Parakeet,Psittacara acuticaudatus
Threskiornis molucca,Australian Ibis,Threskiornis moluccus
Tockus kempi,Western Red-billed Hornbill,Tockus erythrorhynchus
Tockus rufirostris,Southern Red-billed Hornbill,Tockus erythrorhynchus
Trachyphonus purpuratus,Yellow-billed Barbet,Trachylaemus purpuratus
Turdinus abbotti,Abbott's Babbler,Malacocincla abbotti
Turdinus sepiarius,Horsfield's Babbler,Malacocincla sepiaria
Turdoides atripennis,Capuchin Babbler,Phyllanthus atripennis
Turdoides huttoni,Afghan Babbler,Argya caudata
Urosphena pallidipes,Pale-footed Bush Warbler,Hemitesia pallidipes
Xenops rutilans,Streaked Xenops,Xenops rutilus
Yungipicus canicapillus,Gray-capped Woodpecker,Picoides canicapillus
Yungipicus kizuki,Pygmy Woodpecker,Picoides kizuki
Yungipicus maculatus,Philippine Woodpecker,Picoides maculatus
Yungipicus moluccensis,Sunda Woodpecker,Picoides moluccensis
Yungipicus nanus,Brown-capped Woodpecker,Picoides nanus
Yungipicus temminckii,Sulawesi Woodpecker,Picoides temminckii
Zoothera neilgherriensis,Nilgiri Thrush,Zoothera dauma
Carpodacus davidianus,Chinese Beautiful Rosefinch,Carpodacus pulcherrimus
Cyanoderma ambiguum,Buff-chested Babbler,Cyanoderma rufifrons
Ianthocincla berthemyi,Buffy Laughingthrush,Garrulax berthemyi
Ianthocincla bieti,Biet's Laughingthrush,Garrulax bieti
Ianthocincla cineracea,Moustached Laughingthrush,Garrulax cineraceus
Ianthocincla courtoisi,Blue-crowned Laughingthrush,Garrulax courtoisi
Ianthocincla gularis,Rufous-vented Laughingthrush,Garrulax gularis
Ianthocincla koslowi,Tibetan Babax,Garrulax koslowi
Ianthocincla lunulata,Barred Laughingthrush,Garrulax bieti
