common_name,scientific_name,alternative_common_names,alternative_scientific_names
Helmeted Curassow,Pauxi pauxi,"Northern Helmeted Curassow, Pauj� de Yelmo, Pauj� Copete de Piedra",
,Pauxi unicornis,Southern Helmeted Curassow,
Helmeted Guineafowl,Numida meleagris,"Tufted Guineafowl, Pintade commune",
White-breasted Guineafowl,Agelastes meleagrides,"Pintado de Pecho Blanco, Pintado Pechiblanca, Pintade � poitrine blanche",
Black Guineafowl,Agelastes niger,Pintade noire,
Vulturine Guineafowl,Acryllium vulturinum,Pintade vulturine,
Plumed Guineafowl,Guttera plumifera,Pintade plumif�re,
Western Crested Guineafowl,Guttera verreauxi,,
Eastern Crested Guineafowl,Guttera pucherani,"Pintade hupp�e, Crested Guineafowl",
Southern Crested Guineafowl,Guttera edouardi,,
,Guttera pucherani,Pintade hupp�e,
Stone Partridge,Ptilopachus petrosus,Poule de roche,
Nahan's Partridge,Ptilopachus nahani,Francolin de Nahan,Francolinus nahani
Banded Quail,Philortyx fasciatus,,
Mountain Quail,Oreortyx pictus,,
Northern Bobwhite,Colinus virginianus,"Bobwhite, Bobwhite Quail",
Black-throated Bobwhite,Colinus nigrogularis,Yucatan Bobwhite,
Spot-bellied Bobwhite,Colinus leucopogon,,
Crested Bobwhite,Colinus cristatus,,
,Colinus ridgwayi,Masked Bobwhite,
,Colinus cristatus,,
Scaled Quail,Callipepla squamata,,
Elegant Quail,Callipepla douglasii,,Lophortyx douglasii
Gambel's Quail,Callipepla gambelii,,Lophortyx gambelii
California Quail,Callipepla californica,,Lophortyx californica
Bearded Wood-partridge,Dendrortyx barbatus,"Bearded Wood Partridge, Bearded Wood-Partridge",
Long-tailed Wood-partridge,Dendrortyx macroura,"Long-tailed Wood Partridge, Long-tailed Wood-Partridge",
Buffy-crowned Wood-partridge,Dendrortyx leucophrys,"Buffy-crowned Wood Partridge, Buffy-crowned Wood-Partridge",
Marbled Wood-quail,Odontophorus gujanensis,"Marbled Wood-Quail, Marbled Wood Quail",
Spot-winged Wood-quail,Odontophorus capueira,"Spot-winged Wood-Quail, Spot-winged Wood Quail",
Black-eared Wood-quail,Odontophorus melanotis,"Black-eared Wood-Quail, Black-eared Wood Quail",
Rufous-fronted Wood-quail,Odontophorus erythrops,"Rufous-fronted Wood-Quail, Rufous-fronted Wood Quail",
Black-fronted Wood-quail,Odontophorus atrifrons,"Black-fronted Wood Quail, Black-fronted Wood-Quail",
Chestnut Wood-quail,Odontophorus hyperythrus,"Chestnut Wood Quail, Chestnut Wood-Quail",Odontophorus hyperthyrus
Dark-backed Wood-quail,Odontophorus melanonotus,"Dark-backed Wood-Quail, Dark-backed Wood Quail",
Rufous-breasted Wood-quail,Odontophorus speciosus,"Rufous-breasted Wood-Quail, Rufous-breasted Wood Quail",
Tacarcuna Wood-quail,Odontophorus dialeucos,"Tacarcuna Wood-Quail, Tacarcuna Wood Quail",
Gorgeted Wood-quail,Odontophorus strophium,"Gorgeted Wood-Quail, Gorgeted Wood Quail",
Venezuelan Wood-quail,Odontophorus columbianus,"Venezuelan Wood-Quail, Venezuelan Wood Quail",
Black-breasted Wood-quail,Odontophorus leucolaemus,"Black-breasted Wood-Quail, Black-breasted Wood Quail",
Stripe-faced Wood-quail,Odontophorus balliviani,"Stripe-faced Wood-Quail, Stripe-faced Wood Quail",
Starred Wood-quail,Odontophorus stellatus,"Starred Wood-Quail, Starred Wood Quail",
Spotted Wood-quail,Odontophorus guttatus,"Spotted Wood-Quail, Spotted Wood Quail",
Tawny-faced Quail,Rhynchortyx cinctus,,
Singing Quail,Dactylortyx thoracicus,,
Montezuma Quail,Cyrtonyx montezumae,,
