Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Callaeas_cinereus,2.25977301717518,0.314824950286203,-0.37128584063244,-0.0103719283120918,0.516843542115699,-0.248639846924886,0.0360275350133454,-0.108044437042,0.102013334023222,0.97427596827308,-0.378169957996149,-0.0330567202357206,-0.197983927754808,Australian,Herbivore,Omnivore,NA
Callipepla_californica,0.759298327978447,1.03328088910341,0.110498872234049,0.443539642599019,-0.268366927158012,-0.282453144708019,-0.0529069860218809,0.0294736894456621,-0.0822327459495778,-0.457614397054714,-0.552296123908142,-0.0706921917970521,-0.0764518311671881,Nearctic,Herbivore,Omnivore,NA
Callipepla_douglasii,0.960507268016359,0.81126084979915,0.0998364750548967,0.660270167071581,-0.200086035676905,-0.159773888127494,0.0128201039514558,0.0414388468858209,-0.145954677139915,-0.131294227991007,-0.645881453716311,0.00663901504888451,0.0242083295028286,Neotropic,Herbivore,Omnivore,NA
Callipepla_gambelii,0.919394389595005,0.819779026460423,0.0732957890934281,0.343189675261578,-0.214710909790256,-0.267546553936061,0.0896816475169579,-0.0119441774294451,-0.226608931349083,-0.224547121730034,-0.445005675925119,0.0856647823788605,0.0730310853701134,Nearctic,Herbivore,Omnivore,NA
Callipepla_squamata,0.943406251827066,1.0169195959527,0.112690768735047,0.456549027178248,-0.204718788061728,-0.190951636785301,-0.0234941759430533,0.0406878617000192,-0.195266329099482,-0.356045859695661,-0.554052124131707,-0.0307661260675588,0.0404489652236373,Nearctic,Herbivore,Omnivore,NA
Calliphlox_amethystina,-4.1973382788281,-1.18721674690169,0.992139789482225,-0.310306548335815,-0.85318909870376,-0.270605175204906,-0.162142495696451,-0.161316144813573,0.0201254994885384,-1.36591621412531,1.25720700050874,-0.093358606817506,0.106108219449302,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Calliphlox_bryantae,-4.00374887178312,-1.00306173519947,0.953161048708328,-0.600878879329501,-0.927683049885191,-0.266364174743657,-0.225120268625898,-0.168514706860042,-0.0448710039141726,-1.49208384959698,1.37902370263935,-0.145965107824501,0.147002815199098,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Calliphlox_evelynae,-4.23892708153532,-1.12755207318896,0.791609193672856,-0.597641436354761,-0.823696974639862,-0.209152244919688,-0.181782423974167,-0.17800894770767,-0.0690604523138844,-1.46823589749355,1.31436459605257,-0.0989375778918533,0.202024035165505,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Calliphlox_mitchellii,-4.22900546731531,-0.929061722718619,1.06877132379159,-0.471799364459423,-0.913514454243556,-0.29637876039106,-0.0827950962363134,-0.135824473284382,-0.0936544913216328,-1.65716851108118,1.35081331907065,-0.00942020381908892,0.167132829430767,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Callocephalon_fimbriatum,2.74773805673552,-0.775519591595304,-1.05976863085397,0.748489936837585,-0.583919319361752,0.248057798573751,-0.266463155380281,0.0896686538831551,0.094682956940504,2.18191906759573,-1.01349952469978,-0.181879359626327,0.135219524992102,Australian,Herbivore,Omnivore,NA
Callonetta_leucophrys,2.33429812919654,-0.396024569568828,0.522062684343879,0.607077809067708,-0.380617814984097,0.138605737914755,0.238169089248822,0.00815319483608959,-0.0886612996347573,1.44041484214482,-0.0123808970045514,0.276469943670165,0.0787335056592098,Neotropic,Herbivore,Herbivore aquatic,Herbivore aquatic surface
Calochaetes_coccineus,-0.123097848936069,-0.0306097866725291,-0.13964884558077,0.420642205607024,-0.0434334464575157,0.0584613316995347,-0.10462336628373,0.0289235949672218,0.040725046968822,0.0635690085815228,-0.371399813063363,-0.0976134181959134,0.00823653066570301,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal
Calocitta_colliei,2.76403149058249,-0.177111942159985,-0.910260771145505,-0.810315459866636,0.1582185168789,-0.483419339520568,0.0648254273503997,-0.0275838529386259,0.00535644923478248,1.47387726821243,-0.0092932507081338,0.0303768737434738,-0.0539868945940681,Neotropic,Omnivore,Omnivore,NA
Calocitta_formosa,2.57742428514504,-0.197122533951655,-0.845525896143264,-0.6169770519784,0.189697813639956,-0.406921803867253,0.0374897666326774,-0.0402970446790436,-0.041683444089733,1.4291853827029,-0.0951350813582503,0.0104574668900561,0.00895648257625223,Neotropic,Omnivore,Omnivore,NA
