"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","piebus1","Pied Bushchat","Saxicola caprata","species","17","4","20"
"Hanoi","biawar1","Bianchi's Warbler","Phylloscopus valentini","species","12","4","60"
"Hanoi","lesyel1","Lesser Yellownape","Picus chlorolophus","species","12","8","100"
"Hanoi","verfly4","Verditer Flycatcher","Eumyias thalassinus","species","16","9","20"
"Hanoi","perfal","Peregrine Falcon","Falco peregrinus","species","19","7","20"
"Hanoi","yebwar1","Yellow-bellied Warbler","Abroscopus superciliaris","species","13","7","60"
"Hanoi","rucbab1","Rufous-capped Babbler","Cyanoderma ruficeps","species","15","8","20"
"Hanoi","babpit1","Bar-bellied Pitta","Hydrornis elliotii","species","11","11","180"
"Hanoi","bkbful1","Black-browed Fulvetta","Alcippe grotei","species","11","11","180"
"Hanoi","baywoo1","Bay Woodpecker","Blythipicus pyrrhotis","species","12","10","100"
"Hanoi","rebpar4","Red-breasted Parakeet","Psittacula alexandri","species","18","6","20"
"Hanoi","rehtro1","Red-headed Trogon","Harpactes erythrocephalus","species","11","9","100"
"Hanoi","phtjac1","Pheasant-tailed Jacana","Hydrophasianus chirurgus","species","11","7","60"
"Hanoi","cremyn","Crested Myna","Acridotheres cristatellus","species","18","5","20"
"Hanoi","bawfly2","Blue-and-white Flycatcher","Cyanoptila cyanomelana","species","11","4","20"
"Hanoi","asistu1","Asian Stubtail","Urosphena squameiceps","species","16","4","20"
"Hanoi","sbsbab3","Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis","species","10","7","60"
"Hanoi","sultit1","Sultan Tit","Melanochlora sultanea","species","12","11","100"
"Hanoi","gybshr1","Gray-backed Shrike","Lanius tephronotus","species","17","3","20"
"Hanoi","commyn","Common Myna","Acridotheres tristis","species","17","7","20"
"Hanoi","shikra1","Shikra","Accipiter badius","species","19","8","20"
"Hanoi","hilmyn","Common Hill Myna","Gracula religiosa","species","9","9","180"
"Hanoi","gycwoo1","Gray-capped Woodpecker","Yungipicus canicapillus","species","10","8","100"
"Hanoi","revbar1","Red-vented Barbet","Psilopogon lagrandieri","species","9","7","180"
"Hanoi","gycwar1","Gray-crowned Warbler","Phylloscopus tephrocephalus","species","17","4","20"
"Hanoi","gyfbuz1","Gray-faced Buzzard","Butastur indicus","species","8","4","20"
"Hanoi","asidrc3","Square-tailed Drongo-Cuckoo","Surniculus lugubris","species","7","7","180"
"Hanoi","asfblu1","Asian Fairy-bluebird","Irena puella","species","7","7","180"
"Hanoi","combuz6","Eastern Buzzard","Buteo japonicus","species","11","4","60"
"Hanoi","brnshr","Brown Shrike","Lanius cristatus","species","36","16","20"
"Hanoi","emedov2","Asian Emerald Dove","Chalcophaps indica","species","12","9","60"
"Hanoi","grtdro1","Greater Racket-tailed Drongo","Dicrurus paradiseus","species","12","9","60"
"Hanoi","stwbab1","Streaked Wren-Babbler","Turdinus brevicaudatus","species","13","12","100"
"Hanoi","thbpig1","Thick-billed Green-Pigeon","Treron curvirostra","species","8","8","180"
"Hanoi","blyshb1","Blyth's Shrike-Babbler","Pteruthius aeralatus","species","9","7","100"
"Hanoi","colowl1","Collared Owlet","Glaucidium brodiei","species","11","10","100"
