LOCALITY_ID,LATITUDE,LONGITUDE,CITY_NAME,POP_2015,BU_2015,ELEVATION
L877812,37.770918299999998,-122.494726200000002,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L594012,37.432341000000001,-122.091836900000004,San Jose,4609129.782537000253797,1312.896572999999989,"1"
L470022,37.281087300000003,-121.811084699999995,San Jose,4609129.782537000253797,1312.896572999999989,"442"
L1085740,37.767593699999999,-122.468805300000000,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L597003,37.855812999999998,-122.297744800000004,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L279253,37.335471099999999,-121.806203800000006,San Jose,4609129.782537000253797,1312.896572999999989,"681"
L597019,37.565777199999999,-121.997197900000003,San Jose,4609129.782537000253797,1312.896572999999989,"268"
L2207841,37.778448800000000,-122.516216000000000,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L1526910,37.753073000000001,-122.222304600000001,San Jose,4609129.782537000253797,1312.896572999999989,"210"
L1010731,37.769527400000001,-122.497987699999996,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L2730095,37.440776999999997,-122.112080000000006,San Jose,4609129.782537000253797,1312.896572999999989,"1"
L444754,37.827480399999999,-122.312593500000006,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L499374,37.767549600000002,-122.473402600000000,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L247966,37.589962600000000,-122.321514500000006,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L805682,37.581793200000000,-122.409968399999997,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L868295,37.768720000000002,-122.501034700000005,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L355646,37.778626899999999,-122.514113199999997,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L803681,37.691088100000002,-122.053041500000006,San Jose,4609129.782537000253797,1312.896572999999989,"236"
L109494,37.897207799999997,-122.355852100000007,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L161083,37.742162800000003,-122.211227399999999,San Jose,4609129.782537000253797,1312.896572999999989,"57"
L3104978,37.834028500000002,-122.238746899999995,San Jose,4609129.782537000253797,1312.896572999999989,"189"
L563744,37.765626099999999,-122.274484599999994,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L507756,37.900120100000002,-122.325124700000003,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L1913254,37.781705000000002,-122.183246600000004,San Jose,4609129.782537000253797,1312.896572999999989,"210"
L8186190,37.389384999999997,-121.937726999999995,San Jose,4609129.782537000253797,1312.896572999999989,"32"
L594346,37.533279600000000,-122.260515699999999,San Jose,4609129.782537000253797,1312.896572999999989,"-2"
L969109,37.898494599999999,-122.316563099999996,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L762068,37.810682399999997,-122.476787599999994,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L999240,37.803761299999998,-122.477471499999993,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L1427931,37.808539600000003,-122.416762100000000,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L368661,37.556894000000000,-122.270193100000000,San Jose,4609129.782537000253797,1312.896572999999989,"-2"
L253857,37.825941100000001,-122.422197999999995,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L593834,37.916203600000003,-122.386579499999996,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L291976,37.781365899999997,-122.511613400000002,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L1352166,37.766244200000003,-122.486325199999996,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L597127,37.748118400000003,-122.242598500000000,San Jose,4609129.782537000253797,1312.896572999999989,"57"
L2402250,37.731806800000001,-122.207086099999998,San Jose,4609129.782537000253797,1312.896572999999989,"57"
L1280761,37.807170700000000,-122.472458500000002,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L178143,37.890056999999999,-122.324619999999996,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L1124286,37.768407600000003,-122.277438900000007,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L1403116,37.813000000000002,-122.463999999999999,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L1026132,37.605022599999998,-122.376538499999995,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L300659,37.432136499999999,-122.168912899999995,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L1874342,37.386252800000001,-121.968720200000007,San Jose,4609129.782537000253797,1312.896572999999989,"32"
L844248,38.010974099999999,-122.316155400000000,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L1281411,37.749815099999999,-122.483568199999993,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L484238,37.892330999999999,-122.311799500000006,San Jose,4609129.782537000253797,1312.896572999999989,"272"
L8418754,37.425328999999998,-122.153920999999997,San Jose,4609129.782537000253797,1312.896572999999989,"1"
L1105789,37.767186600000002,-122.489168599999999,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L590796,37.739566699999997,-122.441296600000001,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L716138,37.707318999999998,-122.198696100000006,San Jose,4609129.782537000253797,1312.896572999999989,"57"
L817948,37.910346199999999,-122.377910600000007,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L6248572,37.723003300000002,-122.489383200000006,San Jose,4609129.782537000253797,1312.896572999999989,"-10"
L590781,37.571555600000003,-121.974935500000001,San Jose,4609129.782537000253797,1312.896572999999989,"268"
L291975,37.795203200000003,-122.462883000000005,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L2599185,37.942285300000002,-122.410944700000002,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L1050858,37.783014299999998,-122.266823700000003,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
L217690,37.793168999999999,-122.482986999999994,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L1884681,37.422355099999997,-122.176230000000004,San Jose,4609129.782537000253797,1312.896572999999989,"0"
L1839791,37.712936700000000,-122.193435699999995,San Jose,4609129.782537000253797,1312.896572999999989,"57"
L2472257,37.916288000000002,-122.335725999999994,San Jose,4609129.782537000253797,1312.896572999999989,"-1"
